table_name,sql_type,sql_query,nlp_query,query_id,domain,topic,guideline,guideline_number,valid_SQL,SQL_Result
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age = '24.0';,how many passengers in titanic with a age is '24.0';,8,titanic,titanic,Question will be answered by ThriveAI ,1,True,47
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age = '29.881137667304014';,how many passengers in titanic with a age is '29.881137667304014';,9,titanic,titanic,Question will be answered by ThriveAI ,1,True,0
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age = '80';,how many passengers in titanic with a age is '80';,10,titanic,titanic,Question will be answered by ThriveAI ,1,True,1
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age = '0.17';,how many passengers in titanic with a age is '0.17';,11,titanic,titanic,Question will be answered by ThriveAI ,1,True,1
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age_wiki = '22.0';,how many passengers in titanic with a age_wiki is '22.0';,12,titanic,titanic,Question will be answered by ThriveAI ,1,True,62
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age_wiki = '29.41582949308756';,how many passengers in titanic with a age_wiki is '29.41582949308756';,13,titanic,titanic,Question will be answered by ThriveAI ,1,True,0
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age_wiki = '74';,how many passengers in titanic with a age_wiki is '74';,14,titanic,titanic,Question will be answered by ThriveAI ,1,True,1
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE age_wiki = '0.17';,how many passengers in titanic with a age_wiki is '0.17';,15,titanic,titanic,Question will be answered by ThriveAI ,1,True,1
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE boarded = 'Southampton';,how many passengers in titanic with a boarded is 'Southampton';,16,titanic,titanic,Question will be answered by ThriveAI ,1,True,916
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE body = '101MB';,how many passengers in titanic with a body is '101MB';,20,titanic,titanic,Question will be answered by ThriveAI ,1,True,1
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE cabin = 'Unknown cabin';,how many passengers in titanic with a cabin is 'Unknown cabin';,24,titanic,titanic,Question will be answered by ThriveAI ,1,True,1014
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE class = '3.0';,how many passengers in titanic with a class is '3.0';,28,titanic,titanic,Question will be answered by ThriveAI ,1,True,706
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE class = '2.291411042944785';,how many passengers in titanic with a class is '2.291411042944785';,29,titanic,titanic,Question will be answered by ThriveAI ,1,True,0
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE class = '3';,how many passengers in titanic with a class is '3';,30,titanic,titanic,Question will be answered by ThriveAI ,1,True,706
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE class = '1';,how many passengers in titanic with a class is '1';,31,titanic,titanic,Question will be answered by ThriveAI ,1,True,326
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE destination = 'New York City';,how many passengers in titanic with a destination is 'New York City';,32,titanic,titanic,Question will be answered by ThriveAI ,1,True,234
titanic,select count of filter,SELECT COUNT(distinct passengerid) FROM titanic WHERE embarked = 'S';,how many passengers in titanic with a embarked is 'S';,36,titanic,titanic,Question will be answered by ThriveAI ,1,True,914
